,stockNumber,year,make,model,body,trim,features,exteriorColor,vehicleSize,types
20,21242027,2019,Ford,Fusion,4D Sedan,S,"['Power Locks', 'Automated Cruise Control', 'Cloth Seats', 'Power Mirrors', 'Auxiliary Audio Input', 'Rear Defroster', 'Automatic Transmission', 'Side Airbags', 'Rear View Camera', 'Navigation System', 'AM/FM Stereo', 'Sync System', 'Air Conditioning', 'ABS Brakes', 'Apple CarPlay', 'Overhead Airbags', 'Bluetooth Technology', 'Lane Departure Warning', 'Power Windows', 'Blind Spot Monitor', 'Android Auto', 'Traction Control']",Gray,Mid-size,['Sedans']
21,21295355,2021,Lexus,ES 350,4D Sedan,,"['Power Windows', 'Sunroof(s)', 'Power Locks', 'AM/FM Stereo', 'CD Audio', 'Automated Cruise Control', 'Automatic Transmission', 'Air Conditioning', 'ABS Brakes', 'Power Mirrors', 'Alloy Wheels', 'Power Seat(s)', 'Lane Departure Warning', 'Android Auto', 'Traction Control', 'Overhead Airbags', 'Apple CarPlay', 'Smart Key', 'Bluetooth Technology', 'Rear View Camera', 'Leatherette Seats', 'Side Airbags', 'Rear Defroster', 'Auxiliary Audio Input', 'SiriusXM Trial Available']",Black,Mid-size,['Sedans']
22,21294588,2019,Nissan,Titan XD,4D Crew Cab,PRO-4X,"['Power Locks', 'AM/FM Stereo', 'Power Windows', 'Automatic Transmission', 'Cruise Control', 'Power Seat(s)', 'Auxiliary Audio Input', '4WD/AWD', 'Navigation System', 'Traction Control', 'Bed Liner', 'Smart Key', 'Apple CarPlay', 'Alloy Wheels', 'Android Auto', 'Bluetooth Technology', 'Rear View Camera', 'Side Airbags', 'Blind Spot Monitor', 'Leather Seats', 'CD Audio', 'Air Conditioning', 'ABS Brakes', 'Satellite Radio Ready', 'Turbo Diesel Engine', 'Overhead Airbags', 'SiriusXM Trial Available']",White,,"['Diesel Engines', 'Pickup Trucks']"
23,21295414,2019,Toyota,C-HR,4D Sport Utility,LE,"['Power Locks', 'Power Windows', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Air Conditioning', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Power Mirrors', 'Traction Control', 'Cloth Seats', 'ABS Brakes', 'Side Airbags', 'Bluetooth Technology', 'Overhead Airbags', 'Rear View Camera', 'Lane Departure Warning', 'Apple CarPlay', 'Entune']",Gray,Compact,"['Crossovers', 'Sedans', 'Sport Utilities']"
24,21688085,2019,Toyota,C-HR,4D Sport Utility,LE,"['AM/FM Stereo', 'Power Locks', 'ABS Brakes', 'Side Airbags', 'Bluetooth Technology', 'Traction Control', 'Power Mirrors', 'Air Conditioning', 'Power Windows', 'Automatic Transmission', 'Overhead Airbags', 'Apple CarPlay', 'Rear View Camera', 'Lane Departure Warning', 'Entune', 'Cloth Seats', 'Auxiliary Audio Input', 'Full Roof Rack', 'Rear Defroster', 'Automated Cruise Control']",Gray,Compact,"['Crossovers', 'Sedans', 'Sport Utilities']"
25,21241332,2016,Toyota,Camry Hybrid,4D Sedan,XLE,"['CD Audio', 'Cruise Control', 'Automatic Transmission', 'Sunroof(s)', 'ABS Brakes', 'Power Windows', 'Front Seat Heaters', 'Power Locks', 'Power Seat(s)', 'Traction Control', 'Navigation System', 'Auxiliary Audio Input', 'Power Mirrors', 'Satellite Radio Ready', 'Overhead Airbags', 'Bluetooth Technology', 'Side Airbags', 'Rear View Camera', 'AM/FM Stereo', 'Alloy Wheels', 'Rear Defroster', 'Air Conditioning', 'Entune', 'Convenience Package', 'Leather Seats', 'SiriusXM Trial Available']",Black,Mid-size,"['Hybrids', 'Sedans']"
26,21295357,2018,Chevrolet,Malibu,4D Sedan,LS,"['AM/FM Stereo', 'Power Windows', 'Air Conditioning', 'Cruise Control', 'Power Locks', 'ABS Brakes', 'Power Mirrors', 'Rear Defroster', 'Auxiliary Audio Input', 'Turbo Charged Engine', 'Automatic Transmission', 'Side Airbags', 'Alloy Wheels', 'Cloth Seats', 'Traction Control', 'Android Auto', 'Bluetooth Technology', 'Overhead Airbags', 'Smart Key', 'Rear View Camera', 'Remote Start', 'Apple CarPlay']",Blue,Mid-size,['Sedans']
27,21433061,2016,Land Rover,Range Rover Evoque,4D Sport Utility,SE,"['AM/FM Stereo', 'Auxiliary Audio Input', 'Power Seat(s)', 'Leather Seats', '4WD/AWD', 'Power Mirrors', 'Alloy Wheels', 'Side Airbags', 'Power Windows', 'Rear Defroster', 'ABS Brakes', 'Automatic Transmission', 'Power Locks', 'Cruise Control', 'Power Hatch/Deck Lid', 'Bluetooth Technology', 'Parking Sensors', 'Traction Control', 'Turbo Charged Engine', 'Air Conditioning', 'Overhead Airbags', 'Rear View Camera', 'Premium Sound']",White,Compact,"['Luxury Vehicles', 'Sport Utilities']"
28,20715736,2017,Nissan,Juke,4D Sport Utility,S,"['Rear Defroster', 'Power Mirrors', 'Auxiliary Audio Input', 'ABS Brakes', 'Overhead Airbags', 'Rear View Camera', 'Traction Control', 'Smart Key', 'Bluetooth Technology', 'Cloth Seats', 'Automatic Transmission', 'Alloy Wheels', 'Power Windows', 'Cruise Control', 'CD Audio', 'AM/FM Stereo', 'Power Locks', 'Turbo Charged Engine', 'Side Airbags', 'Air Conditioning']",Silver,Compact,"['Sport Utilities', 'Wagons']"
29,21651745,2021,Lexus,GX 460,4D Sport Utility,Premium,"['Power Locks', 'Sunroof(s)', 'AM/FM Stereo', 'Power Windows', 'Air Conditioning', 'Rear Air Conditioning', 'CD Audio', 'ABS Brakes', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Auxiliary Audio Input', 'Rear Seat Heaters', 'Front Seat Heaters', 'Memory Seat(s)', 'Tow Hitch', 'Fold-Away Third Row', 'Overhead Airbags', 'Navigation System', 'Heated Steering Wheel', 'Power Folding Third Row', 'Alloy Wheels', 'Apple CarPlay', 'Leatherette Seats', 'Third Row Seat', 'A/C Seat(s)', 'Bluetooth Technology', 'Lane Departure Warning', 'Rear View Camera', 'Blind Spot Monitor', 'Traction Control', 'Parking Sensors', '4WD/AWD', 'Running Boards', 'Power Mirrors', 'Side Airbags', 'Smart Key', 'Power Seat(s)', 'Android Auto', 'SiriusXM Trial Available']",White,Mid-size,['Sport Utilities']
